MATERIAL_NAME,MONTH,FORECASTED_QUANTITY_MT,TREND_SLOPE
MAT-0321,2025-05-01,30.268740238838628,-0.05978615723331532
MAT-0321,2025-06-01,30.26874247852526,-0.05978615723331532
MAT-0321,2025-07-01,30.26874233002274,-0.05978615723331532
MAT-0321,2025-08-01,30.268742339869206,-0.05978615723331532
MAT-0321,2025-09-01,30.268742339216335,-0.05978615723331532
MAT-0321,2025-10-01,30.268742339259624,-0.05978615723331532
MAT-0321,2025-11-01,30.268742339256754,-0.05978615723331532
MAT-0325,2025-01-01,340.6253730105306,0.9081165235987289
MAT-0325,2025-02-01,382.3379000750449,0.9081165235987289
MAT-0325,2025-03-01,367.28716240633264,0.9081165235987289
MAT-0325,2025-04-01,372.71777810655243,0.9081165235987289
MAT-0325,2025-05-01,370.7583002701417,0.9081165235987289
